index,ENG,URDU,status,comment
0,"Put up for decision
","برائے منظوری پیش کریں۔
",APPROVED,
1,"
","برائے فیصلہ پیش کریں۔
",APPROVED,
2,"
","تاریخ کو پیش کریں۔
",APPROVED,
3,"This case needs to be attended to.
","یہ معاملہ فوری توجہ طلب ہے۔
",APPROVED,
4,"For quick response keep on reminding from time to time.
","جلدی جواب حاصل کرنے کے لیے وقتاً فوقتاً یاد دہانی کراتے رہیے۔
",APPROVED,
5,"Please take immediate steps.
","براہ کرم فوری اقدام کریں۔
",APPROVED,
6,"Please take immediate action.
","فوری قدم اٹھائیں۔
",APPROVED,
7,"Please take immediate action.
","براہ کرم فوری کارروائی کریں۔
",APPROVED,
8,"Please take it into account.
","براہ کرم اسے ملحوظ رکھیں۔
",APPROVED,
9,"Please take legal proceedings.
","براہ کرم قانونی کارروائی شروع کیجیے۔
",APPROVED,
10,"Please take the initiative.
","براہ کرم شروع کریں۔
",APPROVED,
11,"Please take the initiative in this regard.
","براہ کرم اس ضمن میں آغاز کیجیے۔
",APPROVED,
12,"Please take the initiave immediately.
","براہ کرم فوری آغاز کریں۔
",APPROVED,
13,"Please take the initiave immediately.
","براہ کرم فوراً ابتدا کریں۔
",APPROVED,
14,"Please initiate the case.
","براہ کرم معاملے کی ابتدا کریں۔
",APPROVED,
15,"Please take notice.
","براہ کرم مطلع رہیے۔
",APPROVED,
16,"Please take further necessary action.
","براہ کرم مزید ضروری کارروائی کریں۔
",APPROVED,
17,"Please also take into consideration this aspect of the  case.
","براہ کرم معاملے کے اس پہلو کو بھی ملحوظ رکھیے۔
",APPROVED,
18,"Please take action accordingly.
","براہ کرم اس کے مطابق کارروائی کی جائے۔
",APPROVED,
19,"Please take this case personally to the Deputy Financial Adviser.
","براہ کرم یہ معاملہ ذاتی طور پر نائب مشیر مالیات کے پاس لے جائیں۔
",APPROVED,
20,"Please draw up the memorandum on this subject.
",براہ کرم اس موضوع پر نوٹ تحریر کریں۔,CORRECTED,
21,"Please see my observation in the margin of the preceding paragragh.
",براہ کرم سابقہ پیرے کے حاشیے پر میری رائے دیکھیے۔,CORRECTED,
22,"Please send an interim reply.
","براہ کرم عبوری جواب بھیجیں۔
",APPROVED,
23,"Please remind the Ministry of Education.
","براہ کرم وزارت تعلیم کو یاد دہانی کرائیں
",APPROVED,
24,"Please follow-up until the report is received.
","رپورٹ وصول ہونے تک پیروی کرتے رہیے۔
",APPROVED,
25,"Please await further action.
","براہ کرم مزید کارروائی کا انتظار کریں۔
",APPROVED,
26,please take necessary steps,"براہ کرم مزید ضروری کارروائی کریں۔
",CORRECTED,
27,"Please await further report.
",مزید رپورٹ کا انتظار کریں,CORRECTED,
